Time	EGF_EC	CAPRI_cyt	RasGTP_pal_cyt	Ca	IP3	CaCAPRI_cyt	RasGTP_depal_cyt	RasGDP_depal_cyt	RasGDP_pal_cyt	Ca_PLCe_cyt	Sos_cyt	Grb2_cyt	PLCe_cyt	buffer_cyt	ca_buffer_cyt	SosGrb2_cyt	RasGRP_cyt	CaRasGRP1_cyt	Ca_ER	PIP_PM	PI_PM	Shc_PM	CaCAPRI_PM_PM	Shc_star_PM	EGFR_PM	PLC_act_PM	PLC_PM	PIP2_PM	Activated_EGFR_PM	DAG_PM	SGS_PM	RasGTP_PM	RasGDP_PM	serca	RactCa	Ract	Rinh	RinhCa	ER_erMembrane	RasGTP_Golgi_GM	RasGDP_Golgi_GM	Ca_RasGRP_GM_GM	DAG_GM_GM	RasGRP_DAG_GM	Ras_CaPLCe_GM	PIP2_GM_GM																										
0	4.02136	30.1	0	0	0	0	0	0	0	0	81.27	502.67	12.04	120.4	0	99.33	30.1	0	120400	2857	142857	186	0	0	21	0	100	1072	0	2000	0	0	400	45	2.264	9.056	7.7825	3.5375	2	0	50	0	0	0	0	250																										
8	4.02136	30.0864	2.59E-05	1.48388	150.624	0.0100916	3.07E-07	0.35525	12.292	0.0783619	81.0775	502.478	11.9616	118.95	1.44952	99.4472	30.0886	0.0114447	120172	10071.6	135233	185.875	0.00569532	0.00283861	19.9492	0.156431	99.8436	898.456	1.04226	2582.56	0.122412	0.00251938	380.128	45	0.137739	11.1823	10.6328	0.687207	2	1.40E-07	41.2105	3.69E-05	4.66E-08	1.22E-09	1.62E-10	250																										
16	4.02136	30.0645	0.000337444	2.8795	292.945	0.0224913	4.65E-06	0.648809	16.5241	0.159622	80.9218	502.322	11.8804	117.606	2.79438	99.3918	30.0748	0.0251475	119940	12021	131912	185.527	0.0212017	0.00684381	19.0284	0.409966	99.59	527.882	1.93902	4325.14	0.465859	0.0190699	373.287	45	0.264323	11.0557	10.8841	0.435872	2	3.10E-06	34.4793	8.23E-05	3.86E-06	1.72E-07	8.95E-09	250																										
24	4.02136	30.0334	0.00140797	4.99712	354.177	0.0396214	2.22E-05	0.895979	17.9688	0.272796	80.7785	502.178	11.7672	115.637	4.7631	99.2115	30.0565	0.0435083	119593	11395.7	130446	184.996	0.0439575	0.0118012	18.2203	0.651118	99.3489	380.684	2.70976	6563.37	0.992294	0.0609644	370.901	45	0.45094	10.8691	10.6872	0.63277	2	2.11E-05	29.3565	0.000142473	5.93E-05	3.55E-06	1.13E-07	250																										
32	4.02136	29.9369	0.00372619	18.9314	361.733	0.107404	6.63E-05	1.10692	18.4508	0.789653	80.6324	502.032	11.2503	104.632	15.7681	98.9419	29.9826	0.117384	117502	9779.46	129793	184.314	0.0905893	0.0175429	17.5099	0.862286	99.1377	284.598	3.37137	8928.95	1.66851	0.137176	370.003	45	1.53507	9.78493	9.89386	1.42614	2	8.23E-05	25.4914	0.00036963	0.000571658	3.64E-05	1.15E-06	250																										
40	4.02136	27.9861	0.00761337	98.0351	334.013	1.13989	0.000151766	1.28899	18.6012	4.17504	80.4749	501.875	7.86495	66.2361	54.1639	98.6093	28.7437	1.35604	107374	7911.24	129501	183.51	1.58433	0.0239239	16.8842	1.04379	98.9562	212.592	3.93845	11161.6	2.46566	0.244925	369.579	45	5.08106	6.23894	3.91831	7.40169	2	0.000228504	22.6095	0.00465439	0.0190148	0.00130125	2.31E-05	250																										
48	4.02136	28.1223	0.0128641	96.0699	287.435	0.909226	0.000288004	1.4478	18.6381	3.9394	80.3016	501.702	8.10059	66.9196	53.4804	98.2336	29.1412	0.958411	107655	6145.82	129369	182.61	1.73805	0.0308183	16.332	1.19899	98.801	156.773	4.4237	13114.1	3.35883	0.378185	369.288	45	5.02407	6.29593	4.54995	6.77005	2	0.000552227	20.4952	0.00319268	0.04003	0.00443696	4.97E-05	250																										
56	4.02136	28.2997	0.0196501	74.3863	234.471	0.76071	0.000486994	1.58769	18.6365	3.31367	80.1109	501.511	8.72632	74.3616	46.0384	97.8294	29.3263	0.773111	110109	4635.19	129310	181.635	1.69105	0.0381163	15.8434	1.33139	98.6686	113.75	4.83807	14726.6	4.32652	0.547258	369.004	45	4.32324	6.99676	5.15269	6.16731	2	0.00113759	18.9791	0.00258456	0.0787335	0.0101614	8.85E-05	250																										
64	4.02136	28.5867	0.0282273	54.2846	183.488	0.595416	0.000763316	1.71207	18.6218	2.63404	79.9031	501.303	9.40596	82.9052	37.4948	97.4078	29.5188	0.580145	112539	3419.99	129284	180.604	1.49314	0.0457223	15.4101	1.44412	98.5559	81.275	5.19108	16000.8	5.35034	0.75775	368.684	45	3.51815	7.80185	5.95162	5.36838	2	0.00210128	17.9279	0.00194329	0.126774	0.0187691	0.000132644	250																										
72	4.02136	28.9144	0.038908	36.7779	139.405	0.434172	0.0011341	1.82365	18.6022	1.93391	79.6796	501.08	10.1061	92.1436	28.2564	96.977	29.6961	0.402423	114819	2507.75	129246	179.532	1.22238	0.0535531	15.0247	1.53988	98.4601	57.7369	5.49097	16974.4	6.41455	1.01718	368.312	45	2.64915	8.67085	6.92629	4.39371	2	0.00357421	17.2372	0.0013502	0.173107	0.0292651	0.000168625	250																										
80	4.02136	29.2112	0.0520556	25.0391	110.049	0.308745	0.00161937	1.92457	18.5801	1.38425	79.4425	500.842	10.6557	99.6094	20.7906	96.5433	29.825	0.273044	116467	1997.1	129016	178.433	0.943625	0.0615362	14.6809	1.62101	98.379	44.2312	5.74487	17729	7.50577	1.33342	367.879	45	1.94917	9.37083	7.87882	3.44118	2	0.00567788	16.8246	0.000915526	0.207906	0.0395306	0.000193007	250																										
88	4.02136	29.4364	0.0680225	18.4604	94.701	0.227713	0.00224139	2.01652	18.556	1.04383	79.1939	500.594	10.9962	104.354	16.0458	96.1114	29.9003	0.19731	117445	1747.87	128637	177.318	0.709106	0.0696091	14.3731	1.68951	98.3105	37.3084	5.95896	18364.2	8.61269	1.71229	367.378	45	1.50509	9.81491	8.60122	2.71878	2	0.00852457	16.6258	0.000660211	0.23757	0.0484465	0.000218108	250																										
96	4.02136	29.5937	0.0870609	14.7616	87.3117	0.177349	0.00302313	2.10085	18.5296	0.842937	78.9365	500.336	11.1971	107.226	13.1742	95.6846	29.9424	0.154809	118014	1630.96	128180	176.197	0.535171	0.0777173	14.0966	1.74711	98.2529	33.7275	6.1386	18941.3	9.72576	2.15619	366.81	45	1.23642	10.0836	9.08512	2.23488	2	0.0122574	16.59	0.000516997	0.273052	0.0569237	0.000252411	250																										
104	4.02136	29.6999	0.109289	12.5638	83.8642	0.145533	0.00398688	2.17866	18.5009	0.720694	78.6723	500.072	11.3193	109.007	11.3926	95.2656	29.9668	0.129895	118361	1576.42	127687	175.077	0.4141	0.0858145	13.8474	1.7953	98.2047	31.7589	6.28843	19491.2	10.837	2.66488	366.176	45	1.06971	10.2503	9.39995	1.92005	2	0.017061	16.6776	0.000433165	0.320663	0.0665207	0.000299568	250																										
112	4.02136	29.7708	0.134714	11.1862	82.2501	0.124985	0.0051535	2.2508	18.4697	0.643091	78.4038	499.804	11.3969	110.154	10.2458	94.8562	29.9816	0.114479	118580	1550.3	127177	173.966	0.332265	0.0938605	13.6217	1.83536	98.1646	30.5752	6.41247	20028.2	11.9398	3.23657	365.48	45	0.962364	10.3576	9.60662	1.71338	2	0.0231536	16.8574	0.000381354	0.384189	0.0785834	0.000362122	250																										
120	4.02136	29.8179	0.163266	10.2861	81.4636	0.111453	0.00654205	2.31797	18.4359	0.592016	78.1328	499.533	11.448	110.916	9.48368	94.4579	29.9908	0.104504	118725	1536.96	126660	172.87	0.277587	0.101821	13.4165	1.8684	98.1316	29.7948	6.5142	20559.2	13.0285	3.86871	364.725	45	0.891014	10.429	9.74499	1.57501	2	0.0307775	17.105	0.000347868	0.466862	0.0941842	0.000442691	250																										
128	4.02136	29.8494	0.194831	9.68004	81.0453	0.102395	0.00816981	2.38074	18.3996	0.557466	77.8611	499.261	11.4825	111.435	8.96465	94.0716	29.9965	0.0978349	118823	1529.35	126140	171.791	0.241121	0.109668	13.2292	1.89537	98.1046	29.2401	6.59664	21087	14.0988	4.55836	363.913	45	0.842412	10.4776	9.83944	1.48056	2	0.040193	17.4014	0.000325492	0.572027	0.114256	0.000544173	250																										
136	4.02136	29.8705	0.229273	9.26293	80.7896	0.0962447	0.0100523	2.43957	18.3608	0.533618	77.5904	498.99	11.5063	111.795	8.60468	93.6979	29.9998	0.0932671	118891	1524.32	125620	170.736	0.216709	0.117377	13.0573	1.91711	98.0829	28.8253	6.66239	21612.9	15.147	5.30246	363.05	45	0.808701	10.5113	9.90497	1.41503	2	0.0516739	17.7316	0.000310175	0.703281	0.139698	0.000669726	250																										
144	4.02136	29.8849	0.266443	8.97127	80.6051	0.0920161	0.0122035	2.49484	18.3196	0.51691	77.322	498.722	11.523	112.048	8.35163	93.3373	30.0015	0.0900835	118938	1520.47	125099	169.705	0.200253	0.124927	12.8989	1.93432	98.0657	28.5059	6.71373	22137.5	16.1702	6.09791	362.139	45	0.784999	10.535	9.95101	1.36899	2	0.0655046	18.0842	0.000299503	0.864464	0.171427	0.000822707	250																										
152	4.02136	29.8947	0.30619	8.76488	80.4516	0.0890767	0.014636	2.54686	18.2761	0.505072	77.0571	498.457	11.5349	112.228	8.17187	92.99	30.0018	0.0878349	118972	1517.18	124579	168.702	0.189063	0.132302	12.7523	1.94763	98.0524	28.257	6.7526	22661.1	17.166	6.94167	361.182	45	0.768162	10.5518	9.98369	1.33631	2	0.0819786	18.45	0.000291968	1.0596	0.210394	0.00100662	250																										
160	4.02136	29.9015	0.348361	8.61743	80.3113	0.087013	0.0173609	2.59589	18.2304	0.496608	76.7967	498.197	11.5433	112.357	8.04311	92.6562	30.0011	0.0862297	118996	1514.15	124060	167.728	0.181383	0.139489	12.6159	1.95757	98.0424	28.0631	6.78072	23183.6	18.1327	7.83075	360.183	45	0.7561	10.5639	10.0071	1.31293	2	0.101396	18.8222	0.000286591	1.29287	0.257591	0.00122506	250																										
168	4.02136	29.9062	0.392809	8.51123	80.1767	0.0855509	0.0203885	2.64216	18.1827	0.49051	76.5415	497.942	11.5494	112.45	7.9502	92.3357	29.9995	0.0850732	119013	1511.26	123542	166.784	0.17606	0.146476	12.4884	1.96459	98.0354	27.9135	6.79955	23705.3	19.069	8.76225	359.145	45	0.747396	10.5726	10.0239	1.29609	2	0.124063	19.1953	0.000282717	1.56852	0.314041	0.00148168	250																										
176	4.02136	29.9095	0.439388	8.43416	80.0445	0.0845062	0.023728	2.68585	18.133	0.486084	76.2923	497.692	11.5538	112.517	7.88269	92.0285	29.997	0.0842322	119025	1508.45	123024	165.873	0.172337	0.153256	12.3687	1.96911	98.0309	27.8007	6.81037	24226	19.9741	9.73332	358.071	45	0.74107	10.5789	10.0361	1.28388	2	0.15029	19.5652	0.000279901	1.8909	0.380791	0.00178018	250																										
184	4.02136	29.9119	0.487956	8.37778	79.9135	0.083753	0.0273878	2.72712	18.0815	0.482847	76.0496	497.45	11.557	112.567	7.83325	91.7344	29.9938	0.0836146	119035	1505.69	122507	164.993	0.169707	0.159821	12.2558	1.97145	98.0285	27.7187	6.81427	24745.8	20.8473	10.7412	356.963	45	0.736438	10.5836	10.045	1.27496	2	0.180391	19.9289	0.000277834	2.26435	0.458903	0.00212428	250																										
192	4.02136	29.9136	0.538375	8.33617	79.783	0.0832052	0.0313754	2.76611	18.0282	0.48046	75.8139	497.214	11.5594	112.603	7.79674	91.4532	29.9898	0.0831556	119041	1502.96	121991	164.146	0.167833	0.166169	12.1489	1.97194	98.0281	27.6627	6.81223	25264.7	21.6882	11.7833	355.824	45	0.733016	10.587	10.0516	1.2684	2	0.214683	20.2838	0.000276298	2.69326	0.549449	0.00251768	250																										
200	4.02136	29.9149	0.590511	8.30514	79.6532	0.0828026	0.0356979	2.80293	17.9734	0.47868	75.5854	496.985	11.5612	112.63	7.7695	91.1846	29.985	0.0828096	119046	1500.26	121475	163.331	0.166484	0.172294	12.0471	1.97081	98.0292	27.629	6.80505	25782.7	22.4969	12.8569	354.658	45	0.730463	10.5895	10.0565	1.26353	2	0.253485	20.6283	0.00027514	3.182	0.653503	0.0029641	250																										
208	4.02136	29.9158	0.644235	8.2817	79.524	0.0825032	0.0403618	2.83771	17.917	0.477338	75.3643	496.764	11.5625	112.651	7.74892	90.9282	29.9795	0.0825439	119050	1497.57	120961	162.548	0.165503	0.178197	11.9499	1.9683	98.0317	27.6143	6.79347	26299.7	23.2734	13.9597	353.465	45	0.728534	10.5915	10.0601	1.25987	2	0.297116	20.9611	0.000274252	3.73495	0.772141	0.00346724	250																										
216	4.02136	29.9164	0.699421	8.26373	79.3957	0.0822776	0.0453731	2.87053	17.8593	0.47631	75.1509	496.551	11.5635	112.667	7.73314	90.6839	29.9731	0.0823354	119053	1494.89	120448	161.798	0.164782	0.183877	11.8567	1.9646	98.0354	27.6159	6.7781	26815.8	24.018	15.089	352.248	45	0.727055	10.5929	10.0629	1.25709	2	0.345896	21.2812	0.000273555	4.35646	0.906432	0.00403078	250																										
224	4.02136	29.9169	0.755948	8.2497	79.2683	0.0821047	0.0507375	2.90149	17.8004	0.475509	74.9453	496.345	11.5643	112.679	7.72082	90.4512	29.9658	0.0821673	119055	1492.22	119935	161.08	0.164245	0.189335	11.767	1.95988	98.0401	27.6317	6.75948	27331	24.7311	16.2427	351.011	45	0.725899	10.5941	10.0651	1.25494	2	0.400144	21.588	0.000272994	5.05088	1.05744	0.00465839	250																										
232	4.02136	29.9173	0.813699	8.23852	79.1421	0.0819697	0.0564604	2.93066	17.7402	0.474871	74.7474	496.147	11.5649	112.689	7.711	90.2297	29.9577	0.0820277	119057	1489.56	119424	160.392	0.163838	0.194571	11.6804	1.95428	98.0457	27.6597	6.73808	27845.2	25.4132	17.4185	349.754	45	0.724978	10.595	10.0668	1.25324	2	0.460181	21.8811	0.000272528	5.82253	1.22622	0.00535372	250																										
240	4.02136	29.9176	0.872561	8.2294	79.0171	0.081862	0.0625468	2.95812	17.6791	0.474352	74.5573	495.957	11.5653	112.697	7.70299	90.0192	29.9485	0.081908	119059	1486.9	118913	159.736	0.163525	0.199589	11.5966	1.94793	98.0521	27.6982	6.7143	28358.5	26.0648	18.6142	348.479	45	0.724227	10.5958	10.0681	1.25187	2	0.526321	22.1602	0.000272129	6.67569	1.41383	0.00612037	250																										
248	4.02136	29.9178	0.932426	8.22178	78.8936	0.081774	0.0690018	2.98393	17.6169	0.47392	74.375	495.775	11.5657	112.704	7.6963	89.8193	29.9384	0.0818018	119060	1484.25	118403	159.109	0.163279	0.204391	11.5151	1.94094	98.0591	27.746	6.68848	28870.8	26.6867	19.8277	347.19	45	0.7236	10.5964	10.0693	1.25074	2	0.598882	22.4253	0.000271775	7.61462	1.62128	0.00696195	250																										
256	4.02136	29.918	0.99319	8.21527	78.7718	0.0817005	0.07583	3.00816	17.554	0.47355	74.2002	495.6	11.5661	112.709	7.69058	89.6295	29.9273	0.0817048	119061	1481.6	117894	158.511	0.163081	0.20898	11.4359	1.9334	98.0666	27.8017	6.66094	29382.1	27.2796	21.0571	345.887	45	0.723063	10.5969	10.0702	1.24979	2	0.678174	22.6762	0.000271452	8.64355	1.84961	0.00788201	250																										
264	4.02136	29.9182	1.05475	8.20956	78.6517	0.0816373	0.0830361	3.03088	17.4902	0.473227	74.033	495.433	11.5663	112.714	7.68557	89.4497	29.9151	0.0816136	119062	1478.95	117387	157.942	0.162918	0.213361	11.3586	1.92539	98.0746	27.8644	6.63193	29892.5	27.8442	22.3004	344.573	45	0.722592	10.5974	10.071	1.24896	2	0.764509	22.9131	0.000271149	9.76667	2.09982	0.00888408	250																										
272	4.02136	29.9183	1.11702	8.20445	78.5334	0.0815819	0.0906247	3.05213	17.4258	0.472938	73.8732	495.273	11.5666	112.719	7.68109	89.2793	29.9018	0.0815258	119063	1476.31	116880	157.401	0.162781	0.217539	11.2829	1.917	98.083	27.9332	6.60168	30401.9	28.3813	23.5558	343.249	45	0.722171	10.5978	10.0718	1.24823	2	0.858192	23.1362	0.000270857	10.9881	2.3729	0.00997164	250																										
280	4.02136	29.9185	1.1799	8.1998	78.4172	0.0815323	0.0986004	3.07198	17.3608	0.472675	73.7207	495.121	11.5668	112.723	7.67701	89.1181	29.8872	0.0814398	119063	1473.66	116374	156.887	0.162662	0.221516	11.2088	1.90826	98.0917	28.0073	6.57039	30910.3	28.8917	24.8216	341.916	45	0.721788	10.5982	10.0724	1.24757	2	0.959525	23.3455	0.000270571	12.312	2.66981	0.0111482	250																										
288	4.02136	29.9186	1.2433	8.19549	78.3032	0.0814871	0.106968	3.09047	17.2954	0.472431	73.5752	494.975	11.567	112.727	7.67323	88.9657	29.8715	0.0813542	119064	1471.01	115869	156.399	0.162557	0.225299	11.1361	1.89925	98.1008	28.086	6.53822	31417.8	29.3762	26.0962	340.577	45	0.721433	10.5986	10.073	1.24697	2	1.06881	23.5413	0.000270287	13.7424	2.99151	0.012417	250																										
296	4.02136	29.9187	1.30714	8.19146	78.1914	0.0814452	0.115731	3.10765	17.2294	0.472203	73.4366	494.837	11.5671	112.73	7.66969	88.8218	29.8545	0.0812682	119065	1468.35	115365	155.935	0.162462	0.228892	11.0647	1.89	98.11	28.1688	6.50533	31924.3	29.8356	27.3778	339.232	45	0.7211	10.5989	10.0736	1.24641	2	1.18633	23.7238	0.000270001	15.2832	3.33893	0.0137816	250																										
304	4.02136	29.9188	1.37135	8.18764	78.082	0.0814059	0.124895	3.12357	17.1632	0.471987	73.3048	494.705	11.5673	112.734	7.66635	88.686	29.8362	0.0811809	119065	1465.7	114862	155.497	0.162375	0.232301	10.9944	1.88055	98.1194	28.2552	6.47183	32429.7	30.2709	28.6651	337.884	45	0.720786	10.5992	10.0741	1.24588	2	1.31239	23.8933	0.000269711	16.9385	3.71296	0.0152451	250																										
312	4.02136	29.9189	1.43584	8.18401	77.9751	0.0813687	0.134465	3.13828	17.0966	0.471781	73.1795	494.58	11.5674	112.737	7.66316	88.5581	29.8165	0.0810919	119066	1463.04	114360	155.082	0.162295	0.23553	10.9251	1.87095	98.1291	28.3448	6.43785	32934.3	30.6827	29.9566	336.532	45	0.720487	10.5995	10.0746	1.24537	2	1.44726	24.05	0.000269416	18.712	4.1145	0.0168108	250																										
320	4.02136	29.9189	1.50054	8.18053	77.8709	0.0813333	0.144444	3.15181	17.0299	0.471584	73.0606	494.461	11.5675	112.74	7.66011	88.4378	29.7955	0.0810008	119066	1460.38	113859	154.689	0.162219	0.238585	10.8567	1.86121	98.1388	28.4371	6.40347	33437.8	31.072	31.2509	335.18	45	0.7202	10.5998	10.0751	1.24489	2	1.59123	24.1941	0.000269113	20.6076	4.54438	0.018482	250																										
328	4.02136	29.919	1.56539	8.17719	77.7693	0.0812994	0.154838	3.16421	16.963	0.471394	72.9478	494.348	11.5676	112.743	7.65718	88.3246	29.773	0.0809073	119067	1457.71	113359	154.319	0.162146	0.241471	10.7892	1.85137	98.1486	28.5319	6.36878	33940.3	31.4395	32.5467	333.828	45	0.719924	10.6001	10.0756	1.24443	2	1.74455	24.3261	0.000268803	22.629	5.00342	0.0202616	250																										
336	4.02136	29.9191	1.63032	8.17397	77.6705	0.0812668	0.165652	3.17552	16.896	0.47121	72.841	494.241	11.5677	112.746	7.65435	88.2185	29.7491	0.0808111	119068	1455.04	112861	153.97	0.162078	0.244194	10.7226	1.84144	98.1586	28.6289	6.33384	34441.8	31.7859	33.8429	332.476	45	0.719659	10.6003	10.076	1.24398	2	1.9075	24.4461	0.000268484	24.7798	5.49242	0.0221527	250																										
344	4.02136	29.9192	1.69527	8.17086	77.5747	0.0812354	0.176889	3.18578	16.829	0.471033	72.7399	494.14	11.5678	112.748	7.65163	88.1189	29.7236	0.080712	119068	1452.36	112363	153.641	0.162012	0.246758	10.6566	1.83145	98.1685	28.7277	6.29873	34942.4	32.1122	35.1382	331.126	45	0.719403	10.6006	10.0764	1.24356	2	2.08034	24.5544	0.000268155	27.0635	6.01213	0.0241583	250																										
352	4.02136	29.9192	1.76019	8.16787	77.4819	0.0812052	0.188556	3.19503	16.7621	0.470861	72.6444	494.044	11.5678	112.751	7.649	88.0258	29.6966	0.0806099	119068	1449.68	111866	153.332	0.161948	0.24917	10.5914	1.82141	98.1786	28.8283	6.26348	35441.9	32.4191	36.4317	329.78	45	0.719156	10.6008	10.0769	1.24314	2	2.2633	24.6512	0.000267816	29.4836	6.56327	0.0262812	250																										
360	4.02136	29.9193	1.82501	8.16498	77.3921	0.081176	0.200658	3.20329	16.6952	0.470696	72.5543	493.954	11.5679	112.754	7.64646	87.9388	29.668	0.0805047	119069	1447	111370	153.041	0.161887	0.251433	10.5267	1.81134	98.1887	28.9304	6.22816	35940.4	32.7072	37.7222	328.437	45	0.718917	10.6011	10.0773	1.24275	2	2.45664	24.737	0.000267466	32.0435	7.14651	0.0285243	250																										
368	4.02136	29.9194	1.88968	8.16219	77.3056	0.0811479	0.213198	3.21061	16.6284	0.470535	72.4694	493.869	11.5679	112.756	7.64402	87.8577	29.6378	0.0803962	119069	1444.31	110875	152.769	0.161829	0.253554	10.4627	1.80125	98.1987	29.0338	6.19279	36438	32.9773	39.0088	327.099	45	0.718687	10.6013	10.0776	1.24236	2	2.66059	24.8119	0.000267106	34.7463	7.76249	0.03089	250																										
376	4.02136	29.9194	1.95417	8.1595	77.2223	0.0811208	0.226182	3.21702	16.5618	0.47038	72.3894	493.789	11.568	112.758	7.64166	87.7822	29.606	0.0802843	119070	1441.61	110381	152.514	0.161772	0.255537	10.3993	1.79115	98.2089	29.1384	6.15741	36934.5	33.2301	40.2906	325.766	45	0.718466	10.6015	10.078	1.24199	2	2.87536	24.8762	0.000266735	37.5952	8.41181	0.0333811	250																										
384	4.02136	29.9195	2.01841	8.15692	77.1423	0.0810947	0.239616	3.22256	16.4954	0.470231	72.3142	493.714	11.568	112.761	7.63939	87.7122	29.5725	0.080169	119070	1438.91	109888	152.276	0.161717	0.257388	10.3364	1.78105	98.219	29.244	6.12206	37430	33.4664	41.5667	324.44	45	0.718253	10.6017	10.0784	1.24163	2	3.10116	24.9302	0.000266352	40.5931	9.09503	0.036	250																										
392	4.02136	29.9195	2.08238	8.15444	77.0657	0.0810696	0.253504	3.22724	16.4293	0.470087	72.2437	493.644	11.568	112.763	7.63721	87.6473	29.5373	0.0800503	119071	1436.2	109396	152.054	0.161665	0.259111	10.2741	1.77095	98.2291	29.3506	6.08674	37924.5	33.6867	42.8363	323.121	45	0.718048	10.602	10.0787	1.24129	2	3.33822	24.9742	0.000265958	43.743	9.81264	0.0387491	250																										
400	4.02136	29.9196	2.14602	8.15206	76.9927	0.0810455	0.267851	3.23111	16.3634	0.469948	72.1776	493.578	11.568	112.765	7.63513	87.5873	29.5005	0.0799279	119071	1433.49	108905	151.848	0.161614	0.26071	10.2122	1.76087	98.2391	29.4581	6.0515	38418	33.8917	44.0987	321.81	45	0.717852	10.6021	10.079	1.24096	2	3.5867	25.0083	0.000265552	47.0476	10.5651	0.0416305	250																										
408	4.02136	29.9197	2.2093	8.14978	76.9231	0.0810225	0.282662	3.23419	16.2979	0.469814	72.1159	493.516	11.568	112.767	7.63313	87.5321	29.4618	0.079802	119071	1430.77	108415	151.656	0.161566	0.262192	10.1508	1.7508	98.2492	29.5664	6.01635	38910.5	34.082	45.3532	320.507	45	0.717664	10.6023	10.0794	1.24065	2	3.8468	25.033	0.000265133	50.5095	11.3528	0.0446465	250																										
416	4.02136	29.9197	2.27219	8.14761	76.8572	0.0810005	0.297943	3.23651	16.2328	0.469687	72.0582	493.458	11.568	112.769	7.63122	87.4815	29.4215	0.0796724	119072	1428.04	107926	151.478	0.16152	0.263559	10.0899	1.74077	98.2592	29.6753	5.98129	39402	34.2582	46.5991	319.213	45	0.717485	10.6025	10.0797	1.24035	2	4.11868	25.0484	0.000264703	54.131	12.1761	0.0477989	250																										
424	4.02136	29.9198	2.33465	8.14554	76.795	0.0809795	0.313698	3.2381	16.168	0.469564	72.0044	493.404	11.5679	112.771	7.62941	87.4352	29.3794	0.0795391	119072	1425.31	107438	151.314	0.161475	0.264817	10.0294	1.73076	98.2692	29.7849	5.94635	39892.4	34.4209	47.8358	317.928	45	0.717315	10.6027	10.0799	1.24006	2	4.4025	25.0549	0.000264261	57.9146	13.0354	0.0510897	250																										
432	4.02136	29.9198	2.39666	8.14358	76.7364	0.0809595	0.329932	3.23898	16.1036	0.469448	71.9545	493.355	11.5679	112.772	7.62769	87.3931	29.3355	0.0794021	119072	1422.57	106952	151.163	0.161433	0.265969	9.96937	1.72078	98.2792	29.8951	5.91154	40381.8	34.5706	49.0628	316.654	45	0.717153	10.6028	10.0802	1.23979	2	4.69841	25.0526	0.000263806	61.8623	13.9308	0.0545206	250																										
440	4.02136	29.9198	2.45817	8.14173	76.6817	0.0809406	0.34665	3.23918	16.0397	0.469336	71.9082	493.308	11.5678	112.774	7.62606	87.3549	29.2898	0.0792614	119073	1419.83	106466	151.025	0.161393	0.26702	9.90974	1.71084	98.2892	30.0058	5.87686	40870.2	34.708	50.2794	315.389	45	0.717	10.603	10.0805	1.23953	2	5.00653	25.0418	0.000263339	65.9761	14.8626	0.058093	250																										
448	4.02136	29.9199	2.51917	8.13998	76.6307	0.0809228	0.363856	3.23873	15.9763	0.469231	71.8654	493.265	11.5677	112.775	7.62452	87.3206	29.2423	0.0791169	119073	1417.08	105981	150.899	0.161354	0.267975	9.85052	1.70094	98.2991	30.117	5.84234	41357.6	34.8334	51.4852	314.136	45	0.716855	10.6031	10.0807	1.23928	2	5.32698	25.0229	0.000262859	70.2577	15.8308	0.0618085	250																										
456	4.02136	29.9199	2.57963	8.13834	76.5836	0.080906	0.381555	3.23765	15.9133	0.469131	71.826	493.226	11.5676	112.777	7.62308	87.2899	29.193	0.0789687	119073	1414.32	105497	150.784	0.161318	0.268836	9.79169	1.69107	98.3089	30.2286	5.80796	41844	34.9474	52.6798	312.893	45	0.71672	10.6033	10.0809	1.23905	2	5.65986	24.9961	0.000262367	74.7089	16.8356	0.0656684	250																										
464	4.02136	29.92	2.63953	8.13681	76.5404	0.0808902	0.399751	3.23596	15.8509	0.469037	71.7897	493.19	11.5675	112.778	7.62174	87.2628	29.142	0.0788168	119073	1411.56	105015	150.68	0.161284	0.269608	9.73325	1.68126	98.3187	30.3406	5.77375	42329.3	35.0506	53.8627	311.662	45	0.716594	10.6034	10.0812	1.23884	2	6.00527	24.9615	0.000261863	79.331	17.877	0.0696736	250																										
472	4.02136	29.92	2.69885	8.13538	76.5011	0.0808756	0.418449	3.23369	15.789	0.468949	71.7566	493.157	11.5674	112.78	7.62049	87.239	29.0891	0.0786611	119074	1408.79	104533	150.586	0.161252	0.270294	9.6752	1.67148	98.3285	30.4529	5.73969	42813.6	35.1432	55.0336	310.443	45	0.716476	10.6035	10.0814	1.23864	2	6.36328	24.9196	0.000261346	84.1254	18.9549	0.0738253	250																										
480	4.02136	29.92	2.75757	8.13407	76.4657	0.080862	0.437651	3.23086	15.7276	0.468866	71.7264	493.126	11.5673	112.781	7.61933	87.2183	29.0345	0.0785016	119074	1406.02	104053	150.503	0.161223	0.270897	9.61752	1.66175	98.3382	30.5657	5.70581	43296.8	35.2259	56.192	309.237	45	0.716368	10.6036	10.0815	1.23845	2	6.73394	24.8705	0.000260816	89.093	20.0692	0.0781241	250																										
488	4.02136	29.9201	2.81566	8.13287	76.4343	0.0808495	0.457361	3.2275	15.6668	0.468789	71.6991	493.099	11.5671	112.782	7.61828	87.2008	28.9781	0.0783385	119074	1403.24	103573	150.43	0.161195	0.271422	9.5602	1.65207	98.3479	30.6787	5.6721	43779	35.2989	57.3377	308.042	45	0.716269	10.6037	10.0817	1.23828	2	7.11731	24.8144	0.000260275	94.2347	21.2198	0.0825708	250																										
